base_name,extension,first_frame,last_frame,frame_count,missing_frame_count,total_size_bytes,total_size_human,directory,first_frame_path,width,height,fps,codec,pix_fmt,duration_sec
CONO,.jpg,1,3,3,0,451030,440.5 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CONO,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\CONO\CONO_01.jpg,,,,,,
FAROLA,.jpg,1,3,3,0,423657,413.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\FAROLA,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\FAROLA\FAROLA01.jpg,,,,,,
GASOL,.jpg,1,3,3,0,510428,498.5 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\GASOL,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\GASOL\GASOL_01.jpg,,,,,,
HELMET,.jpg,1,3,3,0,531591,519.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\HELMET,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\HELMET\HELMET01.jpg,,,,,,
INDI1,.jpg,1,3,3,0,557418,544.4 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\INDI1,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\INDI1\INDI1_01.jpg,,,,,,
INDICA,.jpg,1,3,3,0,504403,492.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\INDICA,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\INDICA\INDICA01.jpg,,,,,,
ITV,.jpg,1,3,3,0,524459,512.2 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\ITV,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\ITV\ITV_01.jpg,,,,,,
KNMARK,.jpg,1,3,3,0,489213,477.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\KNMARK,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\KNMARK\KNMARK01.jpg,,,,,,
LIMIT,.jpg,1,3,3,0,452452,441.8 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\LIMIT70,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\LIMIT70\LIMIT_01.jpg,,,,,,
LUMINO,.jpg,1,3,3,0,425661,415.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\LUMINOSO,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\LUMINOSO\LUMINO01.jpg,,,,,,
MEDSIG,.jpg,1,3,3,0,607837,593.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\MEDSIGN,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\MEDSIGN\MEDSIG01.jpg,,,,,,
MEDSI,.jpg,201,203,3,0,655411,640.0 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\MEDSIGN2,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\MEDSIGN2\MEDSI201.jpg,,,,,,
PANELW,.jpg,1,3,3,0,469642,458.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PANELWC,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PANELWC\PANELW01.jpg,,,,,,
PAN_AS,.jpg,1,3,3,0,498540,486.9 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PAN_ASPI,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PAN_ASPI\PAN_AS01.jpg,,,,,,
PAN_PT,.jpg,1,3,3,0,550870,538.0 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PAN_PTS,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PAN_PTS\PAN_PT01.jpg,,,,,,
PARK,.jpg,1,3,3,0,490998,479.5 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PARK,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PARK\PARK_01.jpg,,,,,,
PA_A,.jpg,1,3,3,0,553102,540.1 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PA_A_LAV,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PA_A_LAV\PA_A_01.jpg,,,,,,
PA_BIE,.jpg,1,3,3,0,513977,501.9 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PA_BIENV,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PA_BIENV\PA_BIE01.jpg,,,,,,
POST,.jpg,1,3,3,0,435796,425.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\POST,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\POST\POST_01.jpg,,,,,,
PROHIB,.jpg,1,3,3,0,449506,439.0 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PROHIBDO,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\PROHIBDO\PROHIB01.jpg,,,,,,
QUITAM,.jpg,1,3,3,0,634047,619.2 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\QUITAM,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\QUITAM\QUITAM01.jpg,,,,,,
RWCAUT,.jpg,1,3,3,0,478572,467.4 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWCAUTIO,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWCAUTIO\RWCAUT01.jpg,,,,,,
RWD11,.jpg,1,3,3,0,586454,572.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWDISK11,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWDISK11\RWD11_01.jpg,,,,,,
RWD19,.jpg,1,3,3,0,532212,519.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWDISK19,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWDISK19\RWD19_01.jpg,,,,,,
RWSHOR,.jpg,1,3,3,0,555868,542.8 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSHORT,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSHORT\RWSHOR01.jpg,,,,,,
RWSQUA,.jpg,1,3,3,0,494904,483.3 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSQUAR1,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSQUAR1\RWSQUA01.jpg,,,,,,
RWSQ2,.jpg,1,3,3,0,475806,464.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSQUAR2,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSQUAR2\RWSQ2_01.jpg,,,,,,
RWSTOP,.jpg,1,3,3,0,532132,519.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSTOP,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\RWSTOP\RWSTOP01.jpg,,,,,,
SERVC,.jpg,1,3,3,0,536765,524.2 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\SERVC,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3dWorld\3D World and stuff\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\PUBWORKS\SERVC\SERVC_01.jpg,,,,,,
